"Year","State","State_Population","State_Per_Capita_Income","Total_Charges","Percentage_of_US_Total_Charges","Race","Percentage_of_US_Race_Charges","Sex","Percentage_of_US_Sex_Charges","National_Origin","Percentage_of_US_National_Origin_Charges","Religion","Percentage_of_US_Religion_Charges","Color","Percentage_of_US_Color_Charges","Retaliation_All","Percentage_of_US_Retaliation_All_Charges","Retaliation_Title_VII","Percentage_of_US_Retaliation_Title_VII_Charges","Age","Percentage_of_US_Age_Charges","Disability","Percentage_of_US_Disability_Charges","Equal_Pay_Act","Percentage_of_US_EPA_Charges","GINA","Percentage_of_US_GINA_Charges","Gov_Party","White_Male_Pop","White_Female_Pop","Black_Male_Pop","Black_Female_Pop","Native_American_Male_Pop","Native_American_Female_Pop","Asian_Male_Pop","Asian_Female_Pop","Hispanic_Male_Pop","Hispanic_Female_Pop"
2019,"Washington",7614893,62817,1091,"1.50%",330,"1.40%",348,"1.50%",146,"2.10%",59,"2.20%",51,"1.50%",564,"1.40%",459,"1.50%",270,"1.70%",400,"1.70%",13,"1.20%",1,"0.50%","D",2641089,2651370,202550,174382,55809,57424,395840,434471,445526,418719
2020,"Washington",7705281,66907,1004,"1.50%",314,"1.40%",318,"1.50%",128,"2.00%",44,"1.80%",64,"1.80%",592,"1.60%",435,"1.60%",255,"1.80%",406,"1.70%",17,"1.70%",6,"1.40%","D",2647197,2656166,208860,179298,56041,57786,411553,449166,457258,429684
2010,"West Virginia",1854239,32762,182,"0.20%",35,"0.10%",56,"0.20%",8,"0.10%",7,"0.20%",0,"0.00%",55,"0.20%",45,"0.10%",58,"0.20%",82,"0.30%",15,"1.40%",0,"0.00%","D",856263,888032,37422,32503,1922,1717,6633,7408,10638,9252
2011,"West Virginia",1856301,34581,142,"0.10%",38,"0.10%",36,"0.10%",3,"0.00%",3,"0.10%",2,"0.10%",50,"0.10%",42,"0.10%",44,"0.20%",47,"0.20%",1,"0.10%",0,"0.00%","D",856264,887033,37981,32743,1948,1774,7064,7961,11339,9874
2012,"West Virginia",1856872,35453,165,"0.20%",29,"0.10%",67,"0.20%",16,"0.10%",7,"0.20%",1,"0.00%",62,"0.20%",48,"0.20%",49,"0.20%",57,"0.20%",1,"0.10%",0,"0.00%","D",856333,885770,38292,32945,1997,1790,7288,8251,11792,10265
2013,"West Virginia",1853914,35318,131,"0.10%",41,"0.10%",37,"0.10%",7,"0.10%",9,"0.20%",3,"0.10%",39,"0.10%",34,"0.10%",38,"0.20%",40,"0.20%",5,"0.50%",0,"0.00%","D",854377,882931,38706,33256,2016,1838,7464,8444,12283,10621
2014,"West Virginia",1849489,36570,153,"0.20%",19,"0.10%",40,"0.20%",9,"0.10%",5,"0.10%",0,"0.00%",52,"0.10%",39,"0.10%",54,"0.30%",68,"0.30%",1,"0.10%",0,"0.00%","D",851252,879982,38835,33507,2025,1859,7726,8605,12745,11049
2015,"West Virginia",1842050,37468,127,"0.10%",28,"0.10%",41,"0.20%",6,"0.10%",3,"0.10%",0,"0.00%",34,"0.10%",20,"0.10%",32,"0.20%",50,"0.20%",2,"0.20%",0,"0.00%","D",847611,874893,39018,33563,2021,1869,7919,8745,13170,11399
2016,"West Virginia",1831023,37380,114,"0.10%",33,"0.10%",43,"0.20%",5,"0.10%",5,"0.10%",1,"0.00%",37,"0.10%",24,"0.10%",34,"0.20%",38,"0.10%",3,"0.30%",0,"0.00%","D",842002,868374,38982,33528,2026,1876,8088,8979,13495,11831
2017,"West Virginia",1817004,39169,125,"0.10%",30,"0.10%",37,"0.10%",7,"0.10%",7,"0.20%",1,"0.00%",45,"0.10%",34,"0.10%",34,"0.20%",48,"0.20%",0,"0.00%",0,"0.00%","R",835542,860798,38931,33451,2046,1855,8008,8890,13748,11990
2018,"West Virginia",1804291,41300,112,"0.10%",24,"0.10%",34,"0.10%",3,"0.00%",5,"0.20%",3,"0.10%",40,"0.10%",30,"0.10%",27,"0.20%",43,"0.20%",2,"0.20%",0,"0.00%","R",828999,853888,38943,33494,2039,1839,7886,8784,14097,12471
2019,"West Virginia",1792147,42378,86,"0.10%",19,"0.10%",24,"0.10%",4,"0.10%",2,"0.10%",5,"0.10%",37,"0.10%",25,"0.10%",26,"0.20%",34,"0.10%",3,"0.30%",0,"0.00%","R",823253,847382,39119,33498,2040,1881,8074,8864,14609,12867
2020,"West Virginia",1793716,44868,154,"0.20%",31,"0.10%",41,"0.20%",8,"0.10%",7,"0.30%",3,"0.10%",62,"0.20%",40,"0.10%",36,"0.30%",65,"0.30%",1,"0.10%",0,"0.00%","R",817264,841064,39625,33787,2072,1865,8172,8939,15004,13180
2010,"Wisconsin",5690475,39175,1049,"1.00%",363,"1.00%",220,"0.80%",74,"0.70%",31,"0.80%",18,"0.60%",305,"0.80%",253,"0.80%",223,"1.00%",324,"1.30%",16,"1.50%",1,"0.50%","D",2367331,2415008,185511,192061,26759,27293,67656,71033,158550,143246
2011,"Wisconsin",5705288,41209,993,"1.00%",403,"1.10%",258,"0.90%",62,"0.50%",30,"0.70%",48,"1.70%",244,"0.70%",215,"0.70%",224,"1.00%",327,"1.30%",8,"0.90%",6,"2.40%","R",2366889,2412247,187657,194509,26960,27505,70230,73702,161465,147113
2012,"Wisconsin",5719960,42944,1067,"1.10%",382,"1.10%",284,"0.90%",69,"0.60%",30,"0.80%",15,"0.60%",298,"0.80%",240,"0.80%",199,"0.90%",336,"1.30%",10,"0.90%",2,"0.70%","R",2366472,2409293,189277,196432,27131,27691,72877,76602,164820,151035
2013,"Wisconsin",5736754,43050,944,"1.00%",348,"1.10%",236,"0.90%",57,"0.50%",30,"0.80%",20,"0.60%",300,"0.80%",239,"0.80%",227,"1.10%",295,"1.10%",8,"0.80%",3,"0.90%","R",2366569,2407848,190972,197882,27341,27766,76252,80291,167670,154722
2014,"Wisconsin",5751525,44709,968,"1.10%",374,"1.20%",218,"0.80%",61,"0.60%",34,"1.00%",13,"0.50%",304,"0.80%",238,"0.80%",212,"1.00%",280,"1.10%",12,"1.30%",2,"0.60%","R",2366326,2404915,192883,199798,27544,27957,79399,83627,170359,158218
2015,"Wisconsin",5760940,46548,945,"1.10%",330,"1.10%",250,"1.00%",63,"0.70%",46,"1.30%",17,"0.60%",302,"0.80%",241,"0.80%",214,"1.00%",300,"1.20%",13,"1.40%",1,"0.30%","R",2363705,2398997,194660,201351,27662,28038,82486,86975,173560,161717
2016,"Wisconsin",5772628,47205,1096,"1.20%",399,"1.20%",273,"1.00%",109,"1.10%",53,"1.40%",26,"0.80%",380,"0.90%",311,"0.90%",220,"1.10%",336,"1.20%",10,"0.90%",4,"1.70%","R",2361320,2394706,196338,202802,27850,28212,85490,89819,177387,165741
2017,"Wisconsin",5790186,48741,932,"1.10%",357,"1.30%",242,"0.90%",55,"0.70%",34,"1.00%",25,"0.80%",370,"0.80%",272,"0.80%",210,"1.10%",309,"1.20%",11,"1.10%",1,"0.50%","R",2361050,2393202,198662,204583,27981,28449,88238,92738,181135,169955
2018,"Wisconsin",5807406,50818,938,"1.20%",315,"1.30%",271,"1.10%",63,"0.90%",31,"1.10%",34,"1.10%",427,"1.10%",339,"1.10%",194,"1.10%",317,"1.30%",14,"1.30%",0,"0.00%","R",2360839,2390848,200512,206157,28137,28551,89803,93986,186174,175172
2019,"Wisconsin",5822434,52417,897,"1.20%",329,"1.40%",241,"1.00%",77,"1.10%",26,"1.00%",47,"1.40%",378,"1.00%",294,"1.00%",199,"1.30%",293,"1.20%",7,"0.60%",0,"0.00%","D",2361260,2390312,201784,207310,28422,28781,92265,96158,189316,178349
2020,"Wisconsin",5893718,55030,850,"1.30%",310,"1.40%",234,"1.10%",61,"1.00%",28,"1.20%",44,"1.20%",395,"1.00%",291,"1.00%",171,"1.20%",348,"1.40%",7,"0.70%",3,"0.70%","D",2359757,2387409,202631,207672,28562,28998,93997,97876,192341,181581
2010,"Wyoming",564487,46649,40,"0.00%",1,"0.00%",22,"0.10%",2,"0.00%",2,"0.10%",0,"0.00%",12,"0.00%",10,"0.00%",4,"0.00%",19,"0.10%",2,"0.20%",0,"0.00%","D",249060,240986,3493,2492,6374,6368,2335,2895,24103,21726
2011,"Wyoming",567299,50783,57,"0.10%",9,"0.00%",21,"0.10%",3,"0.00%",0,"0.00%",2,"0.10%",22,"0.10%",14,"0.00%",13,"0.10%",18,"0.10%",2,"0.20%",0,"0.00%","R",249636,241664,3757,2594,6482,6426,2374,2959,24503,22145
2012,"Wyoming",576305,54213,95,"0.10%",14,"0.00%",36,"0.10%",9,"0.10%",6,"0.20%",2,"0.10%",47,"0.10%",37,"0.10%",30,"0.10%",31,"0.10%",1,"0.10%",1,"0.40%","R",251732,243399,4969,3516,6568,6494,2648,3148,25677,23086
2013,"Wyoming",582122,53776,65,"0.10%",15,"0.00%",19,"0.10%",8,"0.10%",3,"0.10%",0,"0.00%",30,"0.10%",22,"0.10%",18,"0.10%",24,"0.10%",3,"0.30%",0,"0.00%","R",253522,244916,5398,4040,6589,6598,2755,3248,26203,23629
2014,"Wyoming",582531,57749,69,"0.10%",14,"0.00%",29,"0.10%",6,"0.10%",2,"0.10%",4,"0.10%",30,"0.10%",22,"0.10%",20,"0.10%",25,"0.10%",3,"0.30%",0,"0.00%","R",253558,245120,5064,3672,6619,6684,2751,3265,26514,23883
2015,"Wyoming",585613,57846,46,"0.10%",9,"0.00%",24,"0.10%",5,"0.10%",4,"0.10%",2,"0.10%",25,"0.10%",22,"0.10%",8,"0.00%",11,"0.00%",0,"0.00%",0,"0.00%","R",254948,246065,4936,3460,6653,6644,2927,3341,26869,24271
2016,"Wyoming",584215,54827,55,"0.10%",6,"0.00%",21,"0.10%",4,"0.00%",2,"0.10%",1,"0.00%",21,"0.00%",12,"0.00%",12,"0.10%",22,"0.10%",3,"0.30%",0,"0.00%","R",253745,245202,4929,3410,6609,6622,3017,3503,27178,24545
2017,"Wyoming",578931,57126,30,"0.00%",5,"0.00%",13,"0.10%",3,"0.00%",2,"0.10%",1,"0.00%",11,"0.00%",8,"0.00%",7,"0.00%",8,"0.00%",1,"0.10%",0,"0.00%","R",250681,242879,4884,3421,6518,6594,3160,3611,27062,24511
2018,"Wyoming",577601,60353,21,"0.00%",2,"0.00%",7,"0.00%",2,"0.00%",3,"0.10%",1,"0.00%",10,"0.00%",5,"0.00%",8,"0.00%",10,"0.00%",1,"0.10%",0,"0.00%","R",249626,242209,4811,3461,6545,6631,3332,3698,27103,24682
2019,"Wyoming",578759,61571,36,"0.00%",5,"0.00%",13,"0.10%",1,"0.00%",0,"0.00%",1,"0.00%",20,"0.10%",15,"0.00%",12,"0.10%",15,"0.10%",1,"0.10%",0,"0.00%","R",249852,242282,4828,3499,6522,6581,3364,3673,27388,25045
2020,"Wyoming",576851,62397,42,"0.10%",6,"0.00%",18,"0.10%",6,"0.10%",3,"0.10%",1,"0.00%",24,"0.10%",15,"0.10%",13,"0.10%",16,"0.10%",1,"0.10%",1,"0.20%","R",250498,242873,4846,3561,6644,6619,3336,3672,27725,25365
